Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot51,"Conqueror_Alex",hard,11,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","20:58:14","21:01:03",
Bot51,"Conqueror_Alex",hard,11,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","21:01:08","21:01:22",
Bot51,"Conqueror_Alex",hard,11,Failed,"Delivery From the Past","Zone case_extraction","1","21:01:22","21:01:22",
Bot51,"Conqueror_Alex",hard,11,Failed,"Bad Rep Evidence","Zone locked_office","1","21:01:23","21:01:23",
Bot51,"Conqueror_Alex",hard,11,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","21:01:28","21:01:28",
Bot51,"Conqueror_Alex",hard,11,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","21:01:33","21:01:33",
Bot51,"Conqueror_Alex",hard,11,Failed,"Postman Pat - Part 1","Item Sealed letter","1","21:01:38","21:01:38",
Bot51,"Conqueror_Alex",hard,11,Failed,"3rd Floor Bridge","3rd Floor Bridge: Objective #1","1","21:01:44","21:01:44",
Bot52,"BlackDeathGER",hard,13,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","20:58:15","20:59:09",
Bot53,"archon0ne",hard,20,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","20:58:16","21:00:00",
Bot54,"Faupi",hard,19,Failed,"Farming - Part 1","Zone place_SADOVOD_01_1","1","20:58:17","20:58:29",
